Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.19/cv1/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.19/cv1/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.19/cv2/conv/Conv,Conv,3776512000,2.31%,11274240,0.39%,1180160,1.87%,1x256x40x40,1x512x40x40
/model.19/cv2/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.19/cv2/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.20/cv1/conv/Conv,Conv,420249600,0.26%,3802112,0.13%,131328,0.21%,1x512x40x40,1x256x40x40
/model.20/cv1/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv1/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.20/cv2/conv/Conv,Conv,3776512000,2.31%,11274240,0.39%,1180160,1.87%,1x256x40x40,1x512x40x40
/model.20/cv2/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.20/cv2/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.21/conv/Conv,Conv,420249600,0.26%,3802112,0.13%,131328,0.21%,1x512x40x40,1x256x40x40
/model.21/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.21/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.22/conv/Conv,Conv,3776512000,2.31%,11274240,0.39%,1180160,1.87%,1x256x40x40,1x512x40x40
/model.22/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.22/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.23/conv/Conv,Conv,105267200,0.06%,1769984,0.06%,32896,0.05%,1x256x40x40,1x128x40x40
/model.23/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x128x40x40,1x128x40x40
/model.23/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x128x40x40,1x128x40x40
/model.24/Floor,Floor,0,0.00%,0,0.00%,0,0.00%,0,0
/model.24/Floor_1,Floor,0,0.00%,0,0.00%,0,0.00%,0,0
/model.24/Unsqueeze,Unsqueeze,0,0.00%,4,0.00%,0,0.00%,0,1
/model.24/Unsqueeze_1,Unsqueeze,0,0.00%,4,0.00%,0,0.00%,0,1
/model.24/Concat,Concat,0,0.00%,8,0.00%,0,0.00%,1,2
/model.24/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x128x40x40,4
/model.24/Slice,Slice,0,0.00%,16,0.00%,0,0.00%,4,2
/model.24/Cast,Cast,0,0.00%,16,0.00%,0,0.00%,2,2
/model.24/Concat_1,Concat,0,0.00%,32,0.00%,0,0.00%,2,4
/model.24/Resize,Resize,0,0.00%,6553600,0.23%,0,0.00%,1x128x40x40,1x128x80x80
/model.25/Concat,Concat,0,0.00%,19660800,0.68%,0,0.00%,1x128x80x80,1x384x80x80
/model.26/cv1/conv/Conv,Conv,630784000,0.39%,6750720,0.23%,49280,0.08%,1x384x80x80,1x128x80x80
/model.26/cv1/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x128x80x80,1x128x80x80
/model.26/cv1/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x128x80x80,1x128x80x80
/model.26/cv2/conv/Conv,Conv,3778150400,2.31%,14287872,0.49%,295168,0.47%,1x128x80x80,1x256x80x80
/model.26/cv2/act/Sigmoid,Sigmoid,104857600,0.06%,13107200,0.45%,0,0.00%,1x256x80x80,1x256x80x80
/model.26/cv2/act/Mul,Mul,3276800,0.00%,13107200,0.45%,0,0.00%,1x256x80x80,1x256x80x80
/model.27/model.27.0/cv1/conv/Conv,Conv,421068800,0.26%,6685184,0.23%,32896,0.05%,1x256x80x80,1x128x80x80
/model.27/model.27.0/cv1/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x128x80x80,1x128x80x80
/model.27/model.27.0/cv1/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x128x80x80,1x128x80x80
/model.27/model.27.0/cv2/conv/Conv,Conv,3778150400,2.31%,14287872,0.49%,295168,0.47%,1x128x80x80,1x256x80x80
/model.27/model.27.0/cv2/act/Sigmoid,Sigmoid,104857600,0.06%,13107200,0.45%,0,0.00%,1x256x80x80,1x256x80x80
/model.27/model.27.0/cv2/act/Mul,Mul,3276800,0.00%,13107200,0.45%,0,0.00%,1x256x80x80,1x256x80x80
/model.27/model.27.1/cv1/conv/Conv,Conv,421068800,0.26%,6685184,0.23%,32896,0.05%,1x256x80x80,1x128x80x80
/model.27/model.27.1/cv1/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x128x80x80,1x128x80x80
/model.27/model.27.1/cv1/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x128x80x80,1x128x80x80
/model.27/model.27.1/cv2/conv/Conv,Conv,3778150400,2.31%,14287872,0.49%,295168,0.47%,1x128x80x80,1x256x80x80
/model.27/model.27.1/cv2/act/Sigmoid,Sigmoid,104857600,0.06%,13107200,0.45%,0,0.00%,1x256x80x80,1x256x80x80
/model.27/model.27.1/cv2/act/Mul,Mul,3276800,0.00%,13107200,0.45%,0,0.00%,1x256x80x80,1x256x80x80
/model.28/m.0/Conv,Conv,838848000,0.51%,13318140,0.46%,65535,0.10%,1x256x80x80,1x255x80x80
/model.28/Reshape,Reshape,0,0.00%,13056000,0.45%,0,0.00%,1x255x80x80,1x3x85x80x80
/model.28/Transpose,Transpose,0,0.00%,13056000,0.45%,0,0.00%,1x3x85x80x80,1x3x80x80x85
/model.28/Sigmoid,Sigmoid,104448000,0.06%,13056000,0.45%,0,0.00%,1x3x80x80x85,1x3x80x80x85
/model.28/Split,Split,0,0.00%,13056000,0.45%,0,0.00%,1x3x80x80x85,1x3x80x80x2
/model.28/Mul,Mul,76800,0.00%,307200,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
/model.28/Add,Add,76800,0.00%,307200,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
/model.28/Mul_1,Mul,76800,0.00%,307200,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
/model.28/Mul_2,Mul,76800,0.00%,307200,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
/model.28/Pow,Pow,2457600,0.00%,307200,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
/model.28/Mul_3,Mul,76800,0.00%,307200,0.01%,0,0.00%,1x3x80x80x2,1x3x80x80x2
/model.28/Concat,Concat,0,0.00%,13056000,0.45%,0,0.00%,1x3x80x80x2,1x3x80x80x85
